t,verbo,rajada,religa_s,conf1_s,conf2_s,bat,vcc,vccmin,rst,boots,bods,cuts,erro,repouso
18:49:23,ABRIR,0,0.29,0.42,11.91,3.8,4979,4979,B,0,0,0,,5
18:49:47,FECHAR,0,0.29,0.42,11.92,3.8,4979,4979,B,0,0,0,,70
18:51:16,ABRIR,0,0.28,0.41,11.94,3.79,4979,4979,B,0,0,1,,5
18:51:41,FECHAR,0,0.28,0.41,11.94,3.81,4979,4979,B,0,0,1,,5
18:52:04,ABRIR,1,0.28,1.2,11.97,3.8,,,,,,,,5
18:52:36,FECHAR,0,0.28,0.41,11.9,3.8,4979,4979,B,0,0,1,,25
18:53:20,ABRIR,0,0.28,0.41,11.9,3.8,4979,4979,B,0,0,1,,70
18:54:48,FECHAR,0,0.28,0.41,11.94,3.81,4979,4979,B,0,0,2,,25
