t,verbo,rajada,religa_s,conf1_s,conf2_s,bat,vcc,vccmin,rst,boots,bods,cuts,erro,repouso
19:04:35,ABRIR,0,0.28,0.41,11.95,3.8,4979,4979,B,0,0,0,,90
19:06:25,FECHAR,0,0.28,0.41,11.93,3.8,4979,4979,B,0,0,1,,420
19:13:43,ABRIR,0,0.28,0.41,11.95,3.8,4979,4979,B,1,1,2,,90
19:15:32,FECHAR,0,0.28,0.41,11.9,3.81,4979,4979,B,1,1,3,,90
19:17:20,ABRIR,1,0.28,1.2,11.95,3.81,,,,,,,,90
19:19:17,FECHAR,0,0.28,0.41,11.93,3.79,4979,4979,B,1,1,5,,300
19:24:35,ABRIR,0,0.29,0.41,11.94,3.81,4957,4979,B,1,1,6,,420
19:31:53,FECHAR,0,0.29,0.41,11.92,3.81,4979,4979,B,1,1,7,,300
19:37:12,ABRIR,0,0.28,0.42,11.92,3.79,4979,4979,B,1,1,8,,300
19:42:31,FECHAR,1,0.29,1.2,11.94,3.79,,,,,,,,300
19:47:57,ABRIR,0,0.28,0.41,11.95,3.8,4979,4979,B,2,2,10,,90
