t,verbo,rajada,religa_s,conf1_s,conf2_s,bat,vcc,vccmin,rst,boots,bods,cuts,erro,repouso
18:06:55,ABRIR,0,0.28,0.41,11.94,3.81,4979,4979,B,0,0,0,,5
18:07:19,FECHAR,0,0.28,0.41,11.93,3.8,4979,4979,B,0,0,0,,70
18:08:47,ABRIR,0,0.28,0.41,11.94,3.8,4979,4979,B,0,0,1,,5
18:09:11,FECHAR,0,0.28,0.41,11.94,3.81,4979,4979,B,0,0,1,,5
18:09:34,ABRIR,1,0.29,1.2,11.92,3.8,,,,,,,,5
18:10:06,FECHAR,0,0.29,0.42,11.93,3.81,4979,4979,B,0,0,1,,25
18:10:50,ABRIR,0,0.29,0.41,11.91,3.8,4979,4979,B,0,0,1,,70
18:12:18,FECHAR,0,0.28,0.41,11.92,3.81,4979,4979,B,0,0,2,,25
18:13:02,ABRIR,0,0.28,0.42,11.91,3.81,4979,4979,B,0,0,2,,25
18:13:46,FECHAR,1,0.29,1.2,11.94,3.81,,,,,,,,25
18:14:37,ABRIR,0,0.28,0.41,11.93,3.81,4979,4979,B,0,0,3,,5
18:15:00,FECHAR,0,0.29,0.41,11.91,3.81,4979,4979,B,0,0,3,,25
18:15:46,ABRIR,0,0.29,0.41,11.91,3.82,4979,4979,B,0,0,3,,5
18:16:10,FECHAR,0,0.28,0.42,11.92,3.81,4979,4979,B,0,0,3,,25
18:16:54,ABRIR,1,0.28,1.2,11.93,3.8,,,,,,,,5
18:17:25,FECHAR,0,0.28,0.41,11.91,3.81,4979,4979,B,0,0,3,,5
18:17:48,ABRIR,0,0.29,0.42,11.91,3.81,4979,4979,B,0,0,3,,70
18:19:17,FECHAR,0,0.28,0.41,11.92,3.81,4979,4979,B,0,0,4,,25
18:20:00,ABRIR,0,0.28,0.41,11.94,3.81,4979,4979,B,0,0,4,,5
18:20:24,FECHAR,1,0.29,1.2,11.95,3.8,,,,,,,,5
18:20:55,ABRIR,0,0.29,0.41,11.93,3.81,4979,4979,B,0,0,4,,25
18:21:38,FECHAR,0,0.29,0.42,11.89,3.82,4979,4979,B,0,0,4,,25
18:22:22,ABRIR,0,0.29,0.41,11.93,3.8,4979,4979,B,0,0,4,,5
18:22:46,FECHAR,0,0.29,0.42,11.94,3.8,4979,4979,B,0,0,4,,25
18:23:30,ABRIR,1,0.29,1.2,11.93,3.81,,,,,,,,5
18:24:01,FECHAR,0,0.28,0.41,11.9,3.81,4979,4979,B,0,0,4,,70
18:25:29,ABRIR,0,0.28,0.41,11.91,3.81,4979,4979,B,0,0,5,,70
18:26:57,FECHAR,0,0.29,0.42,11.93,3.81,4979,4979,B,0,0,6,,5
18:27:20,ABRIR,0,0.29,0.41,11.91,3.81,4979,4979,B,0,0,6,,25
18:28:04,FECHAR,1,0.28,1.2,11.94,3.81,,,,,,,,5
18:28:35,ABRIR,0,0.28,0.41,11.91,3.8,4979,4979,B,0,0,6,,70
18:30:07,FECHAR,0,0.29,0.42,11.93,3.81,4979,4979,B,0,0,7,,70
18:31:35,ABRIR,0,0.28,0.41,11.93,3.81,4979,4979,B,0,0,8,,25
18:32:18,FECHAR,0,0.28,0.42,11.91,3.8,4979,4979,B,0,0,8,,5
18:32:41,ABRIR,1,0.29,1.2,11.93,3.81,,,,,,,,70
18:34:18,FECHAR,0,0.29,0.41,11.93,3.8,4979,4979,B,0,0,9,,5
18:34:42,ABRIR,0,0.29,0.41,11.92,3.8,4979,4979,B,0,0,9,,5
18:35:05,FECHAR,0,0.29,0.42,11.93,3.81,4979,4979,B,0,0,9,,70
18:36:34,ABRIR,0,0.29,0.42,11.87,3.81,4979,4979,B,0,0,10,,25
18:37:17,FECHAR,1,0.29,1.2,11.94,3.81,,,,,,,,5
18:37:48,ABRIR,0,0.29,0.42,11.93,3.8,4979,4979,B,0,0,10,,25
18:38:32,FECHAR,0,0.29,0.41,11.91,3.81,4979,4979,B,0,0,10,,25
18:39:15,ABRIR,0,0.29,0.41,11.92,3.8,4979,4979,B,0,0,10,,25
18:39:59,FECHAR,0,0.29,0.42,11.93,3.81,4979,4979,B,0,0,10,,5
18:40:22,ABRIR,1,0.28,1.2,11.96,3.79,,,,,,,,70
18:41:58,FECHAR,0,0.29,0.41,11.9,3.81,4979,4979,B,0,0,11,,70
18:43:28,ABRIR,0,0.29,0.41,11.94,3.8,4979,4979,B,0,0,12,,5
18:43:51,FECHAR,0,0.29,0.41,11.93,3.81,4979,4979,B,0,0,12,,70
18:45:20,ABRIR,0,0.29,0.41,11.91,3.81,4979,4979,B,0,0,13,,5
18:45:43,FECHAR,1,0.29,1.2,11.97,3.81,,,,,,,,70
